Time[s]	Pressure[Mpa]
0.599814286	3.99407565
0.601277144	3.990913073
0.602740625	3.987744199
0.604204729	3.984569039
0.60566946	3.981387601
0.60713482	3.978199895
0.608600809	3.975005928
0.610067431	3.971805711
0.611534687	3.968599252
0.613002579	3.965386561
0.61447111	3.962167646
0.615940281	3.958942517
0.617410095	3.955711183
0.618880553	3.952473653
0.620351657	3.949229937
0.62182341	3.945980043
0.623295814	3.942723981
0.624768871	3.93946176
0.626242582	3.93619339
0.62771695	3.93291888
0.629191977	3.929638239
0.630667664	3.926351476
0.632144015	3.923058602
0.633621031	3.919759626
0.635098714	3.916454556
0.636577067	3.913143403
0.638056091	3.909826176
0.639535788	3.906502884
0.641016161	3.903173538
0.642497212	3.899838146
0.643978943	3.896496719
0.645461355	3.893149265
0.646944452	3.889795796
0.648428235	3.886436319
0.649912707	3.883070846
0.651397868	3.879699385
0.652883723	3.876321947
0.654370272	3.872938542
0.655857519	3.869549178
0.657345464	3.866153867
0.658834111	3.862752617
0.660323462	3.859345439
0.661813518	3.855932343
0.663304282	3.852513338
0.664795756	3.849088435
0.666287942	3.845657643
0.667780843	3.842220973
0.66927446	3.838778434
0.670768796	3.835330037
0.672263853	3.831875792
0.673759634	3.828415708
0.67525614	3.824949796
0.676753374	3.821478067
0.678251337	3.818000529
0.679750033	3.814517194
0.681249464	3.811028072
0.682749631	3.807533173
0.684250537	3.804032507
0.685752185	3.800526084
0.687254575	3.797013915
0.688757712	3.793496011
0.690311411	3.789972381
0.691865004	3.770207905
0.693418504	3.75298681
0.694971923	3.737948798
0.696525272	3.724784855
0.698078557	3.713229897
0.699631787	3.703056491
0.701184968	3.694069471
0.702738105	3.686101332
0.704291204	3.679008286
0.705844267	3.672666885
0.7073973	3.666971123
0.708950304	3.661829964
0.710503282	3.657165208
0.712056237	3.652909677
0.71360917	3.64900565
0.715162083	3.645403524
0.716714978	3.642060666
0.718267855	3.638940429
0.719820716	3.636011307
0.721373562	3.633246208
0.722926393	3.630621833
0.72447921	3.628118144
0.726032014	3.625717903
0.727584805	3.623406278
0.729137584	3.621170508
0.73069035	3.618999609
0.732243105	3.616884129
0.733795848	3.614815928
0.73534858	3.612788001
0.7369013	3.610794315
0.73845401	3.608829672
0.740006709	3.606889599
0.741559397	3.604970239
0.743112074	3.60306827
0.744664741	3.601180831
0.746217397	3.599305453
0.747770043	3.597440012
0.749322679	3.595582674
0.750875304	3.593731858
0.752427918	3.591886202
0.753980523	3.59004453
0.755533117	3.588205829
0.7570857	3.586369224
0.758638274	3.584533961
0.760190837	3.582699389
0.761743389	3.580864945
0.763295931	3.579030145
0.764848463	3.577194569
0.766400985	3.575357858
0.767953496	3.573519697
0.769505997	3.571679818
0.771058487	3.569837988
0.772610967	3.567994006
0.774163437	3.566147697
0.775715896	3.564298912
0.777268344	3.56244752
0.778820782	3.56059341
0.78037321	3.558736484
0.781925627	3.556876659
0.783478033	3.555013862
0.785030429	3.553148029
0.786582814	3.551279108
0.788135189	3.54940705
0.789687553	3.547531815
0.791239906	3.545653369
0.792792248	3.543771679
0.79434458	3.54188672
0.795896901	3.53999847
0.797449211	3.538106907
0.799001511	3.536212015
0.800553799	3.534313779
0.802106077	3.532412187
0.803658344	3.530507226
0.8052106	3.528598887
0.806762845	3.526687161
0.808315079	3.524772042
0.809867302	3.522853522
0.811419514	3.520931596
0.812971715	3.51900626
0.814523905	3.517077509
0.816076083	3.515145339
0.817628251	3.513209747
0.819180408	3.51127073
0.820732553	3.509328286
0.822284687	3.507382413
0.82383681	3.505433108
0.825388922	3.50348037
0.826941022	3.501524197
0.828493112	3.499564588
0.830045189	3.497601543
0.831597256	3.495635059
0.833149311	3.493665136
0.834701355	3.491691773
0.836253387	3.489714969
0.837805408	3.487734724
0.839357417	3.485751037
0.840909415	3.483763908
0.842461402	3.481773335
0.844013376	3.479779319
0.84556534	3.477781859
0.847117291	3.475780954
0.848669231	3.473776605
0.850221159	3.47176881
0.851773076	3.46975757
0.853324981	3.467742884
0.854876874	3.465724751
0.856428755	3.463703173
0.857980625	3.461678147
0.859532483	3.459649675
0.861084329	3.457617755
0.862636163	3.455582387
0.864187985	3.453543572
0.865739795	3.451501309
0.867291593	3.449455597
0.868843379	3.447406437
0.870395153	3.445353828
0.871946916	3.44329777
0.873498666	3.441238263
0.875050404	3.439175306
0.87660213	3.437108899
0.878153843	3.435039042
0.879705545	3.432965736
0.881257234	3.430888978
0.882808911	3.428808771
0.884360576	3.426725112
0.885912229	3.424638002
0.887463869	3.422547441
0.889015497	3.420453428
0.890567112	3.418355963
0.892118715	3.416255047
0.893670306	3.414150678
0.895221884	3.412042857
0.89677345	3.409931583
0.898325003	3.407816856
0.899876544	3.405698676
0.901428072	3.403577043
0.902979588	3.401451956
0.904531091	3.399323416
0.906082581	3.397191421
0.907634058	3.395055972
0.909185523	3.392917069
0.910736975	3.39077471
0.912288415	3.388628897
0.913839841	3.386479629
0.915391255	3.384326906
0.916942656	3.382170726
0.918494044	3.380011091
0.920045419	3.377848
0.921596781	3.375681453
0.92314813	3.373511449
0.924699466	3.371337988
0.926250789	3.36916107
0.9278021	3.366980695
0.929353397	3.364796863
0.93090468	3.362609573
0.932455951	3.360418825
0.934007209	3.358224618
0.935558453	3.356026954
0.937109684	3.35382583
0.938660902	3.351621248
0.940212107	3.349413207
0.941763298	3.347201706
0.943314476	3.344986746
0.94486564	3.342768326
0.946416792	3.340546446
0.947967929	3.338321106
0.949519054	3.336092305
0.951070164	3.333860043
0.952621262	3.331624321
0.954172345	3.329385137
0.955723415	3.327142492
0.957274472	3.324896384
0.958825514	3.322646815
0.960376544	3.320393784
0.961927559	3.31813729
0.963478561	3.315877334
0.965029549	3.313613915
0.966580523	3.311347032
0.968131483	3.309076686
0.969682429	3.306802877
0.971233362	3.304525603
0.972784281	3.302244865
0.974335185	3.299960663
0.975886076	3.297672996
0.977436953	3.295381865
0.978987815	3.293087268
0.980538664	3.290789205
0.982089498	3.288487677
0.983640319	3.286182684
0.985191125	3.283874224
0.986741917	3.281562297
0.988292694	3.279246904
0.989843458	3.276928044
0.991394207	3.274605717
0.992944942	3.272279923
0.994495662	3.26995066
0.996046368	3.26761793
